x_m,y_m
-1.632580479679850629e+06,-3.242903602596338023e+05
-1.631702175164746121e+06,-3.217219209689541603e+05
-1.636050893275599228e+06,-3.214948790527633973e+05
-1.638252865078643430e+06,-3.231607622437754762e+05
-1.638469952594168019e+06,-3.258386238004170591e+05
-1.637879580943110632e+06,-3.282755349655082100e+05
-1.637173561507880222e+06,-3.299051903973994777e+05
-1.635802989973641001e+06,-3.305667015600600280e+05
-1.636340222898904001e+06,-3.314298159782611183e+05
-1.636332942553113448e+06,-3.330884691500528133e+05
-1.636763761071409099e+06,-3.337083641283772886e+05
-1.639070530082846293e+06,-3.337363684132364579e+05
-1.640315509764778661e+06,-3.320351645975231077e+05
-1.641370079033542424e+06,-3.322257938574173604e+05
-1.642022178804606665e+06,-3.335545595246765297e+05
-1.642657212580917869e+06,-3.343952327513482887e+05
-1.642571234120387118e+06,-3.364590591679554200e+05
-1.642379833238909952e+06,-3.372348950874161092e+05
-1.642888844459390733e+06,-3.389087618045837735e+05
-1.643927997982856119e+06,-3.391225574927741545e+05
-1.644575215980747482e+06,-3.408002520261995378e+05
-1.644949892600569641e+06,-3.410496889284101198e+05
-1.645944932645970723e+06,-3.421209577552091796e+05
-1.646140377820728812e+06,-3.430935427222963772e+05
-1.645980394877878716e+06,-3.437031956831970019e+05
-1.647787732009903761e+06,-3.448230236730726319e+05
-1.647157092978710774e+06,-3.485775028147179401e+05
-1.646489172939102864e+06,-3.502561871986442711e+05
-1.647079152488035848e+06,-3.499390495465475251e+05
-1.647616418614900904e+06,-3.496934832439760794e+05
-1.648083409618895734e+06,-3.494179005850760150e+05
-1.648387987772122724e+06,-3.498122837038019206e+05
-1.648447421283815987e+06,-3.501091198438267456e+05
-1.648447390764034353e+06,-3.505840105730669457e+05
-1.649696561288329540e+06,-3.519066937349027721e+05
-1.650372309558518697e+06,-3.532267756454041810e+05
-1.650371004166277125e+06,-3.541265993799461867e+05
-1.650530084917615401e+06,-3.546352773969050031e+05
-1.651070261182237184e+06,-3.555387555598677718e+05
-1.653240129346893402e+06,-3.581814512677667080e+05
-1.653146043591648107e+06,-3.592277896939994534e+05
-1.653299504542768002e+06,-3.604149532464626827e+05
-1.654265512112521101e+06,-3.614489311919441679e+05
